[2026-09-06 01:00:38] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/tai-khoan/dang-ky","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T01:00:37.927Z"} 
[2026-09-06 01:00:41] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/tai-khoan/dang-ky","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T01:00:41.050Z"} 
[2026-09-06 01:00:49] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T01:00:49.798Z"} 
[2026-09-06 01:03:04] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T01:03:03.996Z"} 
[2026-09-06 01:03:13] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T01:03:13.181Z"} 
[2026-09-06 01:07:26] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T01:07:26.386Z"} 
[2026-09-06 01:07:47] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T01:07:47.592Z"} 
[2026-09-06 01:07:59] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T01:07:59.642Z"} 
[2026-09-06 01:08:13] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T01:08:13.055Z"} 
[2026-09-06 01:09:47] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/tai-khoan/don-hang","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T01:09:47.482Z"} 
[2026-09-06 01:13:41] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T01:13:41.838Z"} 
[2026-09-06 01:13:44] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/danh-muc/dien-thoai","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T01:13:44.192Z"} 
[2026-09-06 01:13:45] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T01:13:45.583Z"} 
[2026-09-06 01:13:49] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T01:13:49.782Z"} 
[2026-09-06 01:14:40] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T01:14:40.225Z"} 
[2026-09-06 01:15:14] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T01:15:14.762Z"} 
[2026-09-06 01:15:29] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T01:15:29.514Z"} 
[2026-09-06 01:17:18] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T01:17:18.517Z"} 
[2026-09-06 01:17:56] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T01:17:56.452Z"} 
[2026-09-06 01:18:16] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T01:18:16.421Z"} 
[2026-09-06 01:18:35] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T01:18:35.482Z"} 
[2026-09-06 01:18:53] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T01:18:53.684Z"} 
[2026-09-06 01:19:05] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T01:19:05.196Z"} 
[2026-09-06 01:19:37] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T01:19:37.720Z"} 
[2026-09-06 01:24:36] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T01:24:36.406Z"} 
[2026-09-06 01:25:28] local.DEBUG: ZEK Shop frontend loaded {"url":"http://127.0.0.1:8000/","user_agent":"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36","timestamp":"2026-09-06T01:25:28.271Z"} 
